DATE,DTB1YR
2019-11-29,1.56
2019-12-02,1.56
2019-12-03,1.53
2019-12-04,1.52
2019-12-05,1.52
2019-12-06,1.53
2019-12-09,1.52
2019-12-10,1.52
2019-12-11,1.51
2019-12-12,1.51
2019-12-13,1.49
2019-12-16,1.50
2019-12-17,1.49
2019-12-18,1.50
2019-12-19,1.48
2019-12-20,1.48
2019-12-23,1.49
2019-12-24,1.49
2019-12-25,.
2019-12-26,1.49
2019-12-27,1.47
2019-12-30,1.53
2019-12-31,1.55
2020-01-01,.
2020-01-02,1.52
2020-01-03,1.51
2020-01-06,1.50
2020-01-07,1.49
2020-01-08,1.51
2020-01-09,1.50
2020-01-10,1.49
2020-01-13,1.49
2020-01-14,1.49
2020-01-15,1.50
2020-01-16,1.50
2020-01-17,1.52
2020-01-20,.
2020-01-21,1.50
2020-01-22,1.51
2020-01-23,1.51
2020-01-24,1.51
2020-01-27,1.50
2020-01-28,1.49
2020-01-29,1.47
2020-01-30,1.44
2020-01-31,1.41
2020-02-03,1.42
2020-02-04,1.44
2020-02-05,1.45
